Model,Country of origin,Engines[a],First flight,Airline service entry,Range (km),Wingspan (m),Height (m),Length (m),Empty Weight (kg),Cruising Speed (km/h),MTOW (kg),Dif.Mtow.Ew (Elephants),Max Passengers,Maximum Fuel (US Gal),Liters,Litre/KM,Litre/100km/seat,Base Price $Million Inflation adjusted,Number of flights needed to recoup base costs at the average cost of a flight ticket,Cost Per KM Per Passenger,Lifetime Flight Cycles,Price per Flight Cycle,Price per Flight Cycle per Passenger
Vickers VC10,:uk:,4,1962,1964,"9,410",45,12,48,"139,505",930.00,"141,521",0,151,"21,527","81,489",8.659779072,5.73,"$80,055,161.29","2,157",$0.56,,#DIV/0!,#DIV/0!
Tupolev Tu-144,:su:,4,1968,1977,"6,500",29,13,66,"99,200","2,125.00","207,000",20,150,30597.0149,"115,822",17.8188071,11.88,"$319,108,910.89","9,249",$3.27,,#DIV/0!,#DIV/0!
Convair 990 Coronado (A),:us:,4,1961,1962,"6,115",37,12,43,"60,328",896.00,"114,759",10,149,"12,989","49,169",8.040668927,5.40,"$58,697,019.87",-,$0.64,,#DIV/0!,#DIV/0!
Boeing 720,:us:,4,1959,1960,"5,200",40,13,42,"50,258",897.00,"106,140",10,149,"16,060","60,794",11.69109319,7.85,"$51,176,013.51",-,$0.66,,#DIV/0!,#DIV/0!
Airbus A220,:ca:,2,2013,2016,"6,700",35,12,35,"35,221",895.00,"63,049",5,135,"5,790","21,918",3.271272224,2.42,"$106,090,416.67","2,075",$1.17,"75,000","$1,414.54",$10.48
Airbus A318,:eu:,2,2002,2003,"5,740",34,13,31,"39,500",829.00,"68,000",5,132,"6,400","24,227",4.220666202,3.20,"$68,313,586.96","1,276",$0.90,"75,000",$910.85,$6.90
Aérospatiale-BAC Concorde,:uk:/:fr:,4,1969,1976,"7,223",26,12,62,"173,504","1,341.00","185,070",2,128,"31,600","119,619",16.56129977,12.94,"$260,558,875.22","8,767",$2.82,,#DIV/0!,#DIV/0!
Boeing 727,:us:,3,1963,1964,"4,170",33,10,41,"39,778",960.00,"76,657",7,125,"7,680","29,072",6.97169036,5.58,"$43,666,451.61","1,421",$0.84,,#DIV/0!,#DIV/0!
Fokker 100,:nl:,2,1986,1988,"2,450",28,9,36,"24,375",845.00,"43,090",3,122,"3,531","13,366",5.455625596,4.47,"$54,488,588.33","1,321",$1.82,"90,000",$605.43,$4.96
Yakovlev Yak-42,:su:/:ru:,3,1975,1980,"4,000",35,10,36,"33,000",740.00,"57,500",5,120,"4,172","15,793",3.94818263,3.29,"$58,671,116.50","1,843",$1.22,"40,000","$1,466.78",$12.22
Boeing 717,:us:,2,1997,1999,"2,645",28,9,38,"30,617",811.00,"49,895",4,117,"3,673","13,904",5.256639293,4.49,"$61,647,340.11","1,245",$1.99,,#DIV/0!,#DIV/0!
Boeing 737,:us:,2,1967,1968,"4,800",28,11,31,"29,620",650.00,"58,105",5,115,"5,970","22,599",4.708103688,4.09,"$34,267,528.74","1,321",$0.62,,#DIV/0!,#DIV/0!
Tupolev Tu-104,:su:,2,1955,1956,"2,120",35,12,40,"43,800",850.00,"78,100",6,115,6910,"26,157",12.33829392,10.73,"$17,204,626.33",-,$0.71,,#DIV/0!,#DIV/0!
Embraer E-Jet E190-E2,:br:,2,2016,2018,"5,460",34,11,36,"33,000",833.00,"56,400",4,114,2804.1791,"10,615",1.944133261,1.71,"$68,798,407.01","1,780",$1.11,"60,000","$1,146.64",$10.06
Convair 880 (22),:us:,4,1959,1960,"4,578",37,11,39,"39,600",990.00,"83,700",8,110,"10,584","40,065",8.751590092,7.96,"$43,554,054.05",-,$0.86,,#DIV/0!,#DIV/0!
Sukhoi Superjet 100,:ru:,2,2008,2011,"4,578",28,10,30,"25,100",870.00,"49,450",4,108,"4,175","15,804",3.452181466,3.20,"$50,722,284.71","1,082",$1.03,"6,000","$8,453.71",$78.28
Hawker Siddeley HS121 Trident (1C),:uk:,3,1962,1964,"3,260",27,8,35,"30,481",937.00,"52,163",4,101,4611.648,"17,457",5.354901367,5.30,"$34,933,161.29","1,407",$1.06,,#DIV/0!,#DIV/0!
Sud Aviation SE-210 Caravelle,:fr:,2,1955,1959,"2,500",34,9,32,"26,280",845.00,"56,000",5,100,"7,257","27,471",10.98828815,10.99,"$27,697,594.50",-,$1.11,,#DIV/0!,#DIV/0!
Comac C909 STD,:cn:,2,2008,2016,"2,200",27,8,33,"24,955",828.00,"40,580",3,90,3417.46269,"12,936",5.88022611,6.53,"$51,030,833.33","1,497",$2.58,,#DIV/0!,#DIV/0!
McDonnell Douglas DC-9(-15),:us:,2,1965,1965,"2,400",27,8,32,"22,300",903.00,"41,141",3,90,3692.98507,"13,979",5.824776089,6.47,"$30,695,238.10","1,404",$1.42,,#DIV/0!,#DIV/0!
Rombac 1-11(200),:ro:,2,1982,1983,"1,340",27,7,29,"21,007",882.00,"35,600",3,89,"4,890","18,511",13.81392157,15.52,"$33,398,963.73","1,165",$2.80,"35,000",$954.26,$10.72
BAC One-Eleven (200),:uk:,2,1963,1965,"1,340",27,7,29,"21,007",882.00,"35,600",3,89,"3,002","11,364",8.480448373,9.53,"$31,513,777.78","1,458",$2.64,,#DIV/0!,#DIV/0!
Antonov An-148-100E,:ua:,2,2004,2009,"4,400",29,8,29,"22,000",870.00,"43,700",4,85,3965.67164,"15,012",3.411748428,4.01,"$40,562,234.02","1,235",$1.08,"80,000",$507.03,$5.97
Fokker 70,:nl:,2,1993,1994,"3,410",28,9,31,"22,673",845.00,"39,915",3,85,"3,382","12,802",3.754327455,4.42,"$52,194,331.98","1,523",$1.80,"90,000",$579.94,$6.82
Tupolev Tu-134,:su:,2,1963,1967,"3,000",29,9,37,"27,960",850.00,"47,600",4,84,"3,500","13,249",4.416311667,5.26,"$33,773,952.10","1,742",$1.34,,#DIV/0!,#DIV/0!
British Aerospace 146/Avro RJ-100/RJ70,:uk:,4,1981,1983,"3,870",26,9,26,"23,820",747.00,"38,101",3,82,"3,098","11,727",3.030284284,3.70,"$45,303,212.85","1,714",$1.43,"40,000","$1,132.58",$13.81
de Havilland DH 106 Comet (1),:uk:,4,1949,1952,"2,400",35,9,28,"34,212",740.00,"73,483",7,81,"7,266","27,505",11.46032878,14.15,"$8,477,819.55",-,$0.44,,#DIV/0!,#DIV/0!
Embraer E-Jet E170,:br:,2,2002,2004,"3,982",26,2,30,"21,141",797.00,"38,600",3,78,3071.64179,"11,627",2.919995868,3.74,"$79,037,849.66","2,619",$2.54,"80,000",$987.97,$12.67
Bombardier CRJ700,:ca:,2,1999,2001,"3,763",23,8,32,"20,069",829.00,"34,019",3,78,2924.62687,"11,071",2.942044061,3.77,"$43,710,954.26","1,288",$1.49,"80,000",$546.39,$7.00
Fokker F28 Fellowship (-1000),:nl:,2,1967,1969,"1,705",24,8,27,"16,144",848.00,"29,480",2,65,3445.5253,"13,043",7.649692625,11.77,"$8,771,324.86",588,$0.79,,#DIV/0!,#DIV/0!
Tupolev Tu-124(V),:su:,2,1960,1962,"2,100",26,8,31,"22,900",870.00,"37,500",3,56,"3,466","13,120",6.247729076,11.16,"$15,075,322.58",-,$1.28,,#DIV/0!,#DIV/0!
Bombardier CRJ100,:ca:,2,1991,1992,"3,056",21,6,27,"13,835",535.00,"24,041",2,50,"2,135","8,082",2.644584539,5.29,"$48,241,625.09","2,708",$3.16,"60,000",$804.03,$16.08
VFW-Fokker 614,:de:,2,1971,1975,"1,195",22,8,21,"12,179",735.00,"19,958",1,44,"3,531","13,366",11.18517382,25.42,"$20,967,472.12","2,107",$3.99,,#DIV/0!,#DIV/0!
Embraer ERJ 135LR,:br:,2,1995,1996,"3,240",20,7,26,"11,501",833.00,"20,000",2,37,1480.44776,"5,604",1.729661036,4.67,"$36,756,902.76","2,512",$3.07,"60,000",$612.62,$16.56
Fairchild Dornier 328JET,:de:,2,1998,1999,"2,740",21,7,21,"9,420",749.00,"15,660",1,33,1189.55224,"4,503",1.643409834,4.98,"$28,045,978.39","2,007",$3.10,,#DIV/0!,#DIV/0!
Yakovlev Yak-40,:su:,3,1966,1968,"1,800",25,7,20,"9,400",550.00,"15,500",1,32,"1,030","3,899",2.166095722,6.77,"$9,261,494.25","1,283",$1.61,,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,51.61%,28.29%,28.21%,26.90%,66.60%,9.81%,68.23%,76.03%,55.03%,,83.07%,46.07%,46.83%,74.90%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,875.37,973,51,,,,,,,,,,,
,,,,,,,,,,97.28,778,80.95%,,,,,,2007,,,,,
,,,,,,,,,,,,,,,,,,1970,,,,,
,,,,,,,,,,,,,,,,,,1990,,,,,
,,,,,,,,,,,,,,,,,,2018,,,,,
,,,,,,,,,,,,,,,,,,1994,,,,,
,,,,,,,,,,,,,,,,,,1971,,,,,
,,,,,,,,,,,,,,,,,,2011,,,,,
,,,,,,,,,,,,,,,,,,1980,,,,,
,,,,,,,,,,,,,,,,,,1974,,,,,
,,,,,,,,,,,,,,,,,,2014,,,,,
,,,,,,,,,,,,,,,,,,1995,,,,,
,,,,,,,,,,,,,,,,,,1993,,,,,
,,,,,,,,,,,,,,,,,,1992,,,,,
,,,,,,,,,,,,,,,,,,1959,,,,,
,,,,,,,,,,,,,,,,,,1972,,,,,
,,,,,,,,,,,,,,,,,,1983,,,,,
,,,,,,,,,,,,,,,,,,1983,,,,,
,,,,,,,,,,,,,,,,,,1988,,,,,
,,,,,,,,,,,,,,,,,,1996,,,,,
,,,,,,,,,,,,,,,,,,1958,,,,,
,,,,,,,,,,,,,,,,,,2023,,,,,
,,,,,,,,,,,,,,,,,,1967,,,,,
,,,,,,,,,,,,,,,,,,1972,,,,,
,,,,,,,,,,,,,,,,,,1982,,,,,
,,,,,,,,,,,,,,,,,,1995,,,,,
,,,,,,,,,,,,,,,,,,1980,,,,,
,,,,,,,,,,,,,,,,,,1974,,,,,
,,,,,,,,,,,,,,,,,,1964,,,,,
,,,,,,,,,,,,,,,,,,1977,,,,,
,,,,,,,,,,,,,,,,,,1962,,,,,
,,,,,,,,,,,,,,,,,,1960,,,,,
,,,,,,,,,,,,,,,,,,2016,,,,,
,,,,,,,,,,,,,,,,,,2003,,,,,
,,,,,,,,,,,,,,,,,,1976,,,,,
,,,,,,,,,,,,,,,,,,1964,,,,,
,,,,,,,,,,,,,,,,,,1988,,,,,
,,,,,,,,,,,,,,,,,,1980,,,,,
,,,,,,,,,,,,,,,,,,1999,,,,,
,,,,,,,,,,,,,,,,,,1968,,,,,
,,,,,,,,,,,,,,,,,,1956,,,,,
,,,,,,,,,,,,,,,,,,2018,,,,,
,,,,,,,,,,,,,,,,,,1960,,,,,
,,,,,,,,,,,,,,,,,,2011,,,,,
,,,,,,,,,,,,,,,,,,1964,,,,,
,,,,,,,,,,,,,,,,,,1959,,,,,
,,,,,,,,,,,,,,,,,,2016,,,,,
,,,,,,,,,,,,,,,,,,1965,,,,,
,,,,,,,,,,,,,,,,,,1983,,,,,
,,,,,,,,,,,,,,,,,,1965,,,,,
,,,,,,,,,,,,,,,,,,2009,,,,,
,,,,,,,,,,,,,,,,,,1994,,,,,
,,,,,,,,,,,,,,,,,,1967,,,,,
,,,,,,,,,,,,,,,,,,1983,,,,,
,,,,,,,,,,,,,,,,,,1952,,,,,
,,,,,,,,,,,,,,,,,,2004,,,,,
,,,,,,,,,,,,,,,,,,2001,,,,,
,,,,,,,,,,,,,,,,,,1969,,,,,
,,,,,,,,,,,,,,,,,,1962,,,,,
,,,,,,,,,,,,,,,,,,1992,,,,,
,,,,,,,,,,,,,,,,,,1975,,,,,
,,,,,,,,,,,,,,,,,,1996,,,,,
,,,,,,,,,,,,,,,,,,1999,,,,,
,,,,,,,,,,,,,,,,,,1968,,,,,
