States + DC,Count,# of Records,Total $,Average Contribution per Record,% of Total Races,% of Total Records,% of Total $,Alabama _Ivey_2022,# of Records,Total $,Alaska _Dunleavy_2022,# of Records,Total $,Arizona _Hobbs_2022,# of Records,Total $,Arkansas _Huckabee_Sanders_2022,# of Records,Total $,California _Newsom_2022,# of Records,Total $,Colorado _Polis_2022,# of Records,Total $,Connecticut _Lamont_2022,# of Records,Total $,Delaware _Meyer_2024,# of Records,Total $,Florida _DeSantis_2022,# of Records,Total $,Georgia _Kemp_2022,# of Records,Total $,Hawaii _Green_2022,# of Records,Total $,Idaho _Little_2022,# of Records,Total $,Illinois _Pritzker_2022,# of Records,Total $,Indiana _Braun_2024,# of Records,Total $,Iowa _Reynolds_2022,# of Records,Total $,Kansas _Kelly_2022,# of Records,Total $,Kentucky _Beshear_2023,# of Records,Total $,Louisiana _Landry_2023,# of Records,Total $,Maine _Mills_2022,# of Records,Total $,Maryland _Moore_2022,# of Records,Total $,Massachusetts _Healey_2022,# of Records,Total $,Michigan _Whitmer_2022,# of Records,Total $,Minnesota _Walz_2022,# of Records,Total $,Mississippi _Reeves_2023,# of Records,Total $,Missouri _Parson_2020,# of Records,Total $,Montana _Gianforte_2024,# of Records,Total $,Nebraska _Pillen_2022,# of Records,Total $,Nevada _Lombardo_2022,# of Records,Total $,New Hampshire _Ayotte_2024,# of Records,Total $,New Jersey _Murphy_2021,# of Records,Total $,New Mexico _Lujan_Grisham_2022,# of Records,Total $,New York _Hochul_2022,# of Records,Total $,North Carolina _Cooper_2020,# of Records,Total $,North Dakota _Armstrong_2024,# of Records,Total $,Ohio _DeWine_2022,# of Records,Total $,Oklahoma _Stitt_2022,# of Records,Total $,Oregon _Kotek_2022,# of Records,Total $,Pennsylvania _Shapiro_2022,# of Records,Total $,Rhode Island _McKee_2022,# of Records,Total $,South Carolina _McMaster_2022,# of Records,Total $,South Dakota _Noem_2022,# of Records,Total $,Tennessee _Lee_2022,# of Records,Total $,Texas _Abbott_2022,# of Records,Total $,Utah _Cox_2024,# of Records,Total $,Vermont _Scott_2024,# of Records,Total $,Virginia _Youngkin_2021,# of Records,Total $,Washington _Ferguson_2024,# of Records,Total $,West Virginia _Morrisey_2024,# of Records,Total $,Wisconsin _Evers_2022,# of Records,Total $,Wyoming _Gordon_2022,# of Records,Total $
GA,49,53647,65623692,1223.249986,98%,1.89%,4.86%,GA,20,"$135,407",GA,7,"$2,576",GA,"1,714","$45,677",GA,"2,196","$311,960",GA,126,"$146,928",GA,11,$353,GA,2,"$1,250",GA,50,"$28,888",GA,"6,118","$2,308,106",GA,"26,733","$59,757,470",GA,2,"$12,000",GA,1,"$2,500",,,,GA,11,"$59,650",GA,330,"$158,523",GA,201,"$12,824",GA,67,"$35,164",GA,60,"$48,922",GA,103,"$10,965",GA,352,"$81,717",GA,22,"$8,001",GA,"2,284","$159,754",GA,36,"$9,300",GA,12,"$19,000.00",GA,1,$250,GA,10,"$8,130",GA,6,"$24,000",GA,14,"$27,815",GA,10,"$32,449",GA,7,"$22,600",GA,136,"$44,125",GA,61,"$111,506",GA,576,"$138,378",GA,9,"$26,062",GA,19,"$81,566",GA,5,"$5,250",GA,14,"$8,691",GA,636,"$128,265",GA,2,"$1,000",GA,185,"$389,326",GA,972,"$135,189",GA,26,"$69,171",GA,"7,843","$335,566",GA,5,"$20,008",GA,1,"$4,480",GA,507,"$546,360",GA,19,"$3,417.00",GA,564,"$42,839",GA,"1,612","$90,302",GA,1,$150
HI,34,7288,3156327,433.085483,68%,0.26%,0.23%,HI,1,$26,HI,1,$250,HI,754,"$36,972",HI,275,"$15,524",HI,33,"$1,771",HI,6,$175,,,,HI,5,$425,HI,574,"$28,433",HI,1,"$1,000",HI,"2,689","$2,890,285",HI,2,"$3,000",,,,,,,HI,42,$607,HI,103,"$4,775",HI,18,"$3,455",HI,7,$275,HI,19,"$4,310",HI,24,"$1,470",HI,12,$203,HI,805,"$25,466",HI,7,"$1,100",,,,,,,,,,,,,HI,7,"$10,554",,,,,,,HI,50,"$2,309",HI,21,"$1,031",HI,41,"$1,423",,,,,,,,,,HI,13,"$3,909",HI,198,"$16,810",HI,1,$250,HI,6,"$4,535",HI,120,"$20,318",,,,HI,703,"$48,530",,,,,,,HI,55,"$4,765",HI,12,"$2,075.00",HI,41,$931,HI,647,"$19,790",,,
IA,37,35487,10223339,288.0868769,74%,1.25%,0.76%,IA,1,$5,,,,IA,574,"$31,604",IA,683,"$41,072",IA,14,"$42,970",IA,27,$835,,,,,,,IA,"1,050","$66,221",IA,9,"$15,147",IA,2,"$6,101",IA,1,"$2,000",,,,IA,2,"$10,000",IA,"27,897","$9,551,083",IA,43,"$8,892",IA,8,"$2,733",IA,4,$110,IA,17,"$5,510",IA,43,"$5,715",IA,4,"$1,305",IA,935,"$39,541",IA,26,"$11,550",,,,IA,2,"$3,600",IA,1,$104,IA,20,"$119,178",IA,1,"$2,500",,,,IA,1,"$1,000",IA,47,"$23,412",IA,12,"$10,710",IA,82,"$2,891",,,,,,,IA,2,"$3,000",IA,2,$278,IA,137,"$10,822",IA,1,$5,IA,3,"$6,500",IA,881,"$93,426",,,,IA,"1,727","$62,284",,,,,,,IA,57,"$4,525",,,,IA,104,"$2,459",IA,"1,067","$34,251",,,
ID,41,11352,2132497,187.8520965,82%,0.40%,0.16%,ID,1,$15,ID,2,$152,ID,389,"$19,711",ID,519,"$48,286",ID,34,"$1,145",ID,19,$200,,,,,,,ID,"1,348","$72,427",ID,7,"$2,544",ID,2,"$4,000",ID,"4,709","$1,665,506",,,,ID,1,$250,ID,135,"$2,442",ID,43,"$4,900",ID,19,"$1,130",ID,13,"$15,802",ID,9,"$1,500",ID,16,$601,ID,4,"$1,100",ID,504,"$21,233",ID,3,"$1,620",ID,1,"$1,000.00",ID,2,$500,ID,15,"$12,090",ID,2,"$26,000",ID,2,$750,,,,ID,1,"$2,500",ID,28,"$33,162",ID,11,$372,ID,47,"$3,468",,,,ID,2,"$1,050",ID,1,$250,ID,8,"$7,550",ID,162,"$15,653",,,,,,,ID,470,"$44,689",,,,ID,"2,090","$77,078",ID,2,"$1,550",,,,ID,91,"$11,360",ID,75,"$5,925.00",ID,171,"$6,069",ID,393,"$16,717",ID,1,$200
IL,50,54415,175553497.1,3226.196768,100%,1.92%,13.00%,IL,3,"$10,126",IL,5,"$3,030",IL,"5,563","$332,594",IL,"2,654","$235,558",IL,123,"$155,897",IL,45,"$1,791",IL,1,$3,IL,34,"$16,985",IL,"6,373","$7,562,151",IL,114,"$474,574",IL,15,"$17,835",IL,3,"$2,010",IL,67,"$159,211,003",IL,90,"$1,468,070",IL,390,"$218,693",IL,580,"$91,269",IL,205,"$115,758",IL,67,"$21,754",IL,118,"$20,258",IL,551,"$204,620",IL,73,"$16,360",IL,"9,431","$1,052,359",IL,155,"$30,111",IL,8,"$7,750.00",IL,70,"$63,068",IL,18,"$15,715",IL,15,"$121,800",IL,43,"$52,896",IL,3,"$8,500",IL,34,"$116,400",IL,378,"$163,121",IL,184,"$226,950",IL,531,"$72,815",IL,3,"$9,500",IL,26,"$57,324",IL,17,"$16,855",IL,40,"$48,945",IL,"1,703","$779,392",IL,12,"$4,467",IL,52,"$53,573",IL,"1,501","$154,828",IL,30,"$50,150",IL,"8,479","$523,154",IL,7,"$17,317",IL,1,"$1,000",IL,530,"$492,321",IL,29,"$11,926.14",IL,440,"$23,596",IL,"13,634","$1,210,313",IL,2,"$4,000"
IN,46,20593,14892404,723.1779731,92%,0.73%,1.10%,IN,4,$70,IN,1,$5,IN,"1,108","$28,131",IN,"1,194","$89,104",IN,9,"$1,960",IN,19,$407,IN,9,$48,IN,6,"$4,450",IN,"3,349","$472,167",IN,47,"$118,092",IN,1,"$1,000",IN,3,"$1,300",,,,IN,"3,996","$12,585,271",IN,171,"$20,178",IN,128,"$11,089",IN,289,"$174,762",IN,32,"$9,335",IN,15,"$1,855",IN,105,"$14,350",IN,13,"$3,183",IN,"2,295","$161,509",IN,71,"$6,555",IN,8,"$58,250.00",IN,9,"$8,900",IN,6,"$4,240",IN,2,"$101,000",IN,1,"$5,000",IN,3,"$6,104",IN,2,"$4,500",IN,81,"$32,018",IN,52,"$95,628",IN,163,"$23,803",IN,2,"$3,000",IN,31,"$63,539",IN,7,"$12,600",IN,5,"$155,950",IN,307,"$229,929",IN,1,$250,IN,12,"$11,060",IN,594,"$53,359",IN,8,"$23,600",IN,"4,354","$192,871",IN,4,"$10,500",,,,IN,225,"$39,864",,,,IN,220,"$8,936",IN,"1,646","$47,180",,,
KS,41,47127,6825719,144.8366966,82%,1.66%,0.51%,KS,3,"$12,000",,,,KS,575,"$22,234",KS,867,"$108,409",KS,1,$100,KS,2,$125,,,,,,,KS,"1,431","$430,913",KS,22,"$179,959",KS,1,"$2,500",KS,2,"$2,000",,,,,,,KS,148,"$19,639",KS,"38,346","$5,132,586",KS,7,"$5,800",KS,21,"$11,088",KS,9,"$2,842",KS,56,"$1,004",KS,21,$285,KS,820,"$33,997",KS,5,$500,KS,4,"$3,000.00",KS,203,"$242,089",KS,5,$900,KS,23,"$91,393",KS,9,"$39,000",,,,KS,1,"$4,900",KS,90,"$8,930",KS,30,"$35,438",KS,65,"$6,666",KS,1,"$2,500",KS,4,"$8,600",KS,37,"$74,300",KS,2,"$7,700",KS,156,"$17,413",,,,KS,12,"$6,360",KS,504,"$103,867",KS,2,"$7,500",KS,"2,848","$97,092",KS,2,"$32,500",,,,KS,63,"$40,330",KS,1,$153.00,KS,88,"$3,753",KS,640,"$25,354",,,
KY,39,37706,22321085,591.9770063,78%,1.33%,1.65%,KY,5,$82,KY,1,$35,KY,436,"$19,035",KY,859,"$47,156",KY,24,"$11,110",KY,6,$317,,,,KY,1,"$1,200",KY,"1,715","$597,269",KY,19,"$29,815",,,,,,,,,,KY,40,"$177,252",KY,58,$999,KY,49,"$4,035",KY,"29,088","$20,871,814",KY,30,"$20,540",KY,28,"$7,518",KY,42,"$8,972",KY,13,"$5,138",KY,"1,138","$49,892",,,,KY,7,"$13,100.00",,,,,,,,,,KY,1,$250,,,,KY,9,"$22,650",KY,52,"$11,693",KY,25,"$47,446",KY,141,"$10,576",KY,2,"$3,000",KY,43,"$122,144",KY,6,"$14,600",KY,1,$250,KY,151,"$34,124",KY,1,$250,KY,3,"$4,505",KY,369,"$32,553",KY,6,"$10,650",KY,"2,303","$75,288",,,,,,,KY,129,"$25,310",KY,1,$500.00,KY,134,"$18,104",KY,768,"$21,663",KY,3,"$1,450"
LA,42,25869,16650878,643.6614481,84%,0.91%,1.23%,LA,5,"$11,062",LA,2,"$1,510",LA,568,"$18,449",LA,"1,257","$306,395",LA,24,"$12,125",LA,16,$559,,,,LA,1,"$1,200",LA,"1,669","$223,513",LA,42,"$89,274",LA,3,"$2,000",LA,2,"$10,000",,,,LA,2,"$15,000",LA,220,"$3,688",LA,48,"$9,798",LA,40,"$53,950",LA,"15,006","$14,205,170",LA,15,"$5,832",LA,59,"$5,317",LA,4,"$2,025",LA,546,"$40,380",LA,18,"$4,985",LA,125,"$880,465.00",LA,2,$750,LA,18,"$14,950",,,,LA,3,"$7,741",,,,,,,LA,74,"$119,590",LA,27,"$16,622",LA,73,"$38,847",LA,1,"$2,500",LA,3,"$3,564",LA,4,"$6,850",LA,4,$260,LA,163,"$19,250",,,,LA,13,"$27,171",LA,551,"$94,321",LA,5,"$14,900",LA,"4,335","$273,834",LA,7,"$20,500",,,,LA,215,"$35,618",LA,1,"$2,400.00",LA,187,"$30,090",LA,512,"$19,623",,,
MA,46,63246,14074740,222.5396072,92%,2.23%,1.04%,MA,3,$77,MA,1,$25,MA,"5,863","$466,520",MA,"1,169","$73,657",MA,114,"$49,145",MA,58,"$2,806",MA,69,"$19,723",MA,66,"$27,425",MA,"3,663","$1,408,717",MA,38,"$30,346",MA,21,"$34,574",MA,1,$100,,,,MA,4,"$22,650",MA,116,"$23,588",MA,501,"$100,155",MA,281,"$139,572",MA,50,"$17,308",MA,"1,260","$267,818",MA,573,"$88,622",MA,"25,809","$6,913,188",MA,"6,848","$711,960",MA,114,"$32,353",MA,2,"$2,000.00",,,,,,,MA,1,"$5,000",MA,5,"$2,950",MA,280,"$663,943",MA,48,"$116,250",MA,406,"$94,531",MA,263,"$540,307",MA,825,"$95,104",MA,1,"$2,500",MA,10,"$21,265",MA,1,$500,MA,67,"$104,091",MA,"2,316","$701,891",MA,490,"$263,953",MA,32,"$16,238",MA,657,"$56,200",MA,3,"$12,900",MA,"4,273","$171,892",,,,MA,2,$700,MA,298,"$88,453",MA,44,"$27,213.00",MA,157,"$6,368",MA,"6,574","$696,485",MA,4,$825
